Student_ID,Age,Gender,Department,CGPA,Sleep_Duration,Study_Hours,Social_Media_Hours,Physical_Activity,Stress_Level,Depression
1001,22,Female,Science,3.5,7.3,3.3,3.4,114,5,False
1002,20,Male,Engineering,2.72,5.5,7.2,6.0,142,2,False
1003,20,Male,Medical,3.01,5.4,2.3,1.8,137,3,False
1004,21,Male,Engineering,3.63,8.1,2.0,4.6,130,3,False
1005,19,Male,Arts,3.14,6.8,2.6,4.3,4,6,False
1006,22,Female,Medical,3.31,6.5,3.5,4.1,129,2,False
1007,18,Male,Science,2.14,4.4,4.0,3.1,73,8,True
1008,18,Male,Engineering,3.27,7.0,3.4,7.6,68,4,False
1009,21,Male,Business,2.71,4.8,8.6,0.3,82,5,False
1010,24,Male,Engineering,3.36,5.7,1.5,3.7,59,3,False
1011,23,Male,Science,3.35,3.8,4.4,1.7,95,6,False
1012,21,Female,Business,2.06,5.4,1.5,3.1,127,2,False
1013,24,Male,Engineering,2.05,5.1,6.5,5.3,107,4,False
1014,24,Female,Medical,2.1,5.5,4.9,2.8,47,4,False
1015,22,Female,Arts,2.91,5.1,0.6,2.4,72,3,True
1016,23,Male,Arts,3.33,7.6,5.9,4.5,53,4,False
1017,23,Female,Arts,3.15,5.3,3.8,2.5,24,6,False
1018,19,Male,Business,3.2,5.9,2.0,3.5,145,5,False
1019,21,Female,Medical,2.19,7.3,3.4,1.9,31,3,False
1020,19,Female,Engineering,3.48,7.9,4.4,4.3,129,3,False
1021,24,Female,Medical,3.33,9.9,3.6,4.8,117,2,False
1022,19,Female,Science,3.62,7.6,3.1,3.0,17,6,False
1023,21,Female,Science,2.13,6.0,0.8,6.5,116,3,False
1024,18,Male,Arts,2.0,7.9,4.8,2.9,7,3,False
1025,18,Male,Science,2.1,10.7,2.4,1.7,133,3,False
1026,22,Female,Business,3.65,9.9,7.2,4.2,132,4,False
1027,18,Female,Science,2.25,8.4,3.7,2.6,70,3,False
1028,24,Male,Engineering,3.17,4.9,7.9,4.5,142,5,False
1029,21,Male,Business,2.8,5.9,4.4,4.4,69,4,False
1030,23,Female,Engineering,2.75,6.0,2.4,4.8,17,5,False
1031,24,Male,Medical,3.03,10.5,0.3,1.7,45,3,False
1032,19,Male,Arts,2.84,8.1,3.7,3.0,86,3,False
1033,19,Male,Engineering,1.84,9.1,3.0,5.3,139,4,False
1034,22,Female,Engineering,2.98,8.5,4.5,4.0,57,4,False
1035,18,Female,Arts,3.49,6.2,7.3,1.4,72,2,False
1036,20,Female,Engineering,2.08,8.6,4.0,2.8,99,3,False
1037,24,Female,Engineering,2.51,6.3,2.3,3.9,63,5,False
1038,23,Male,Medical,2.79,8.4,6.6,6.1,62,2,False
1039,23,Female,Arts,2.38,7.1,5.7,1.4,56,6,False
1040,20,Male,Arts,3.18,8.0,6.2,4.5,130,2,False
1041,22,Female,Science,3.18,7.4,4.3,6.4,81,2,False
1042,19,Female,Medical,2.57,4.6,3.8,2.6,58,6,False
1043,23,Female,Business,3.34,7.6,1.1,2.2,18,5,False
1044,23,Female,Arts,2.95,8.1,4.9,6.3,74,3,False
1045,20,Female,Business,3.22,6.9,1.6,3.8,108,5,False
1046,19,Female,Medical,2.43,4.6,7.0,2.5,35,6,False
1047,23,Female,Arts,3.31,7.0,4.2,2.3,34,6,False
1048,22,Female,Arts,2.47,6.4,3.2,3.5,39,4,False
1049,24,Male,Science,2.52,4.5,0.5,3.8,110,6,False
1050,18,Female,Medical,3.26,5.1,3.5,4.1,10,6,False
1051,19,Female,Science,2.42,9.3,5.5,6.6,100,5,True
1052,22,Female,Arts,3.49,4.6,3.2,2.6,81,7,False
1053,21,Male,Business,3.37,7.5,5.4,4.1,126,2,False
1054,21,Female,Arts,3.67,9.6,2.3,4.8,81,3,False
1055,21,Male,Medical,3.49,7.0,5.2,3.4,131,3,False
1056,20,Male,Arts,2.75,6.9,3.7,4.2,74,3,False
1057,22,Male,Arts,2.32,7.9,4.8,2.5,107,3,False
1058,18,Male,Engineering,3.24,6.0,4.6,4.9,131,2,False
1059,22,Female,Business,3.25,7.8,6.9,4.1,62,3,False
1060,20,Female,Engineering,3.42,7.4,4.2,1.1,8,3,True
1061,23,Female,Business,2.86,8.2,4.4,4.7,130,2,False
1062,22,Female,Business,2.1,4.6,1.3,5.4,134,8,True
1063,22,Male,Engineering,2.26,4.8,6.4,3.4,148,6,False
1064,24,Male,Medical,2.88,6.2,0.0,0.0,65,5,False
1065,19,Female,Business,3.13,7.0,7.3,4.5,88,4,False
1066,24,Female,Medical,2.81,7.6,2.3,2.0,81,4,False
1067,20,Female,Business,2.2,6.5,2.6,1.1,114,3,False
1068,18,Female,Engineering,2.22,3.0,3.8,3.0,11,7,False
1069,22,Female,Medical,2.39,5.4,3.7,2.6,118,2,False
1070,21,Female,Business,2.96,4.2,4.0,5.6,120,8,False
1071,21,Male,Arts,2.44,7.0,2.6,1.9,100,5,True
1072,20,Female,Business,2.58,8.2,6.1,3.6,141,4,False
1073,21,Male,Business,3.44,5.3,2.9,5.8,38,3,False
1074,24,Female,Medical,3.27,6.9,5.2,3.5,94,2,False
1075,23,Male,Engineering,3.33,6.6,0.5,1.1,147,5,False
1076,24,Male,Medical,3.13,5.7,2.8,5.1,142,5,False
1077,20,Female,Engineering,2.07,6.1,6.3,3.2,45,6,False
1078,18,Female,Arts,3.78,8.4,3.7,4.2,27,6,False
1079,21,Male,Medical,3.15,5.8,3.7,3.2,52,4,True
1080,20,Male,Business,2.86,8.0,4.6,5.2,46,4,False
1081,23,Female,Engineering,3.24,3.0,3.6,4.8,37,8,False
1082,20,Female,Business,3.17,6.7,8.7,5.7,132,5,False
1083,23,Male,Engineering,2.75,6.7,1.4,3.5,61,5,False
1084,22,Female,Science,3.86,3.6,7.4,4.9,108,5,False
1085,22,Male,Business,3.49,8.8,1.9,3.7,81,5,False
1086,18,Female,Engineering,3.76,8.9,4.4,4.2,30,6,False
1087,18,Female,Arts,2.85,5.6,4.1,2.4,107,5,False
1088,19,Male,Engineering,2.12,6.7,4.8,2.4,133,3,False
1089,24,Male,Arts,2.68,8.9,1.6,2.8,55,3,False
1090,20,Male,Arts,2.47,5.8,4.4,2.9,83,2,False
1091,22,Male,Medical,3.54,6.3,6.0,3.6,59,3,False
1092,23,Male,Arts,3.06,6.2,3.0,4.3,102,5,False
1093,21,Male,Medical,2.15,7.4,2.8,3.7,82,4,False
1094,22,Male,Medical,3.79,10.0,6.0,3.0,53,5,False
1095,22,Female,Business,2.34,6.6,1.7,2.3,118,5,True
1096,20,Female,Business,3.34,8.1,6.0,1.1,122,5,False
